id,name,address,phone,emergency_phone,latitude,longitude,district,emergency_level,hospital_type,beds_total,has_ct,has_mri
ER001,고신대학교복음병원,부산광역시 서구 감천로 262 (암남동),051-990-6114,051-990-0119,35.0810780661749,129.014512799533,서구,지역응급의료기관,종합병원(상급종합병원),844,True,True
ER002,인제대학교부산백병원,부산 부산진구 복지로 75,051-890-6114,051-890-0119,35.14616704460037,129.02083868922023,부산진구,지역응급의료기관,종합병원(상급종합병원),810,True,True
ER003,부산대학교병원,부산광역시 서구 구덕로 179 (아미동1가),051-240-7000,051-240-0119,35.1011288801696,129.019244318359,서구,지역응급의료기관,종합병원(상급종합병원),1040,True,True
ER004,동아대학교병원,부산광역시 서구 대신공원로 26 (동대신동3가),051-240-2400,051-240-0119,35.1205099717021,129.018749786965,서구,지역응급의료기관,종합병원(상급종합병원),973,True,True
ER005,학교법인 춘해병원,부산광역시 부산진구 중앙대로 605 지상1층~지상9층 (범천동),051-638-8000,051-638-0119,35.146949702975,129.058380632707,부산진구,지역응급의료기관,종합병원,201,True,False
ER006,삼육부산병원,부산광역시 서구 대티로 170 (서대신동2가),051-242-9751,051-242-0119,35.112065623463,129.01097628247,서구,지역응급의료기관,종합병원,317,True,False
ER007,재단법인천주교부산교구유지재단 메리놀병원,부산광역시 중구 중구로 121 (대청동4가),051-465-8801,051-465-0119,35.1076506151841,129.032988169522,중구,지역응급의료기관,종합병원,399,True,False
ER008,대동병원,부산광역시 동래구 충렬대로 187 (명륜동),051-554-1233,051-554-0119,35.2043075639488,129.080201770222,동래구,지역응급의료기관,종합병원,432,True,True
ER009,부산광역시의료원,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",051-507-3000,051-507-0119,35.187431768268,129.060181218712,연제구,지역응급의료기관,종합병원,544,True,True
ER010,구포성심병원,부산광역시 북구 낙동대로 1786 (구포동),051-330-2001,051-330-0119,35.2096727817991,129.004573231485,북구,지역응급의료기관,종합병원,243,True,False
ER011,의료법인 광혜의료재단 광혜병원,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",051-503-2111,051-503-0119,35.2069683553419,129.071145271145,동래구,지역응급의료기관,종합병원,175,False,False
ER012,재단법인한호기독교선교회 일신기독병원,부산광역시 동구 정공단로 27 (좌천동),051-630-0300,051-630-0119,35.1357753221213,129.054416899466,동구,지역응급의료기관,종합병원,162,False,False
ER013,의료법인 행도의료재단 해동병원,부산광역시 영도구 태종로 133 (봉래동3가),051-412-6161,051-412-0119,35.0919365901985,129.043863903737,영도구,지역응급의료기관,종합병원,265,True,False
