id,issue,csv_value,kakao_value,difference
ER001,좌표 차이,"35.081078, 129.014513","35.080331, 129.015716",137m
ER002,이름 불일치,인제대학교부산백병원,인제대학교 부산백병원,
ER002,좌표 차이,"35.160662, 129.017916","35.146167, 129.020839",1633m
ER004,좌표 차이,"35.120510, 129.018750","35.120087, 129.017595",115m
ER005,이름 불일치,학교법인 춘해병원,춘해병원,
ER007,이름 불일치,재단법인천주교부산교구유지재단 메리놀병원,메리놀병원,
ER011,이름 불일치,의료법인 광혜의료재단 광혜병원,광혜병원,
ER012,카카오 검색 실패,재단법인한호기독교선교회 일신기독병원,N/A,
ER013,이름 불일치,의료법인 행도의료재단 해동병원,의료법인행도의료재단해동병원,
ER014,카카오 검색 실패,의료법인정화의료재단 봉생기념병원,N/A,
ER016,이름 불일치,비에이치에스한서병원,BHS한서병원,
ER017,카카오 검색 실패,학교법인)동의병원,N/A,
ER019,이름 불일치,한국보훈복지의료공단 부산보훈병원,부산보훈병원,
ER019,좌표 차이,"35.152892, 129.008252","35.153255, 129.006486",166m
ER020,이름 불일치,의료법인은성의료재단좋은삼선병원,좋은삼선병원,
ER022,카카오 검색 실패,의료법인 센텀의료재단 센텀종합병원,N/A,
ER023,이름 불일치,의료법인 인당의료재단 부민병원,부민병원,
ER024,이름 불일치,의료법인 은성의료재단 좋은강안병원,좋은강안병원,
ER025,카카오 검색 실패,부산성모병원(재단법인 천주교부산교구유지재단),N/A,
ER027,카카오 검색 실패,의료법인 온그룹의료재단 온병원,N/A,
ER029,이름 불일치,의료법인 인당의료재단 해운대부민병원,해운대부민병원,
ER030,이름 불일치,동래안락병원,빌리브세웅병원,
ER030,좌표 차이,"35.196928, 129.096107","35.195881, 129.108243",1109m
ER031,좌표 차이,"35.157677, 129.050061","35.150399, 129.008170",3894m
ER032,이름 불일치,양정병원,동의병원,
ER033,이름 불일치,온종합병원,온병원,
ER033,좌표 차이,"35.161047, 129.112882","35.157851, 129.050042",5724m
ER034,좌표 차이,"35.166830, 129.114419","35.150158, 129.110726",1884m
ER035,이름 불일치,침례병원,명지침례의원,
ER035,좌표 차이,"35.137894, 129.091470","35.109886, 128.931622",14868m
ER036,좌표 차이,"35.104223, 129.031091","35.107608, 129.032717",404m
ER037,이름 불일치,성분도병원,성분도치과병원,
ER037,좌표 차이,"35.140118, 129.059661","35.150768, 129.110912",4808m
ER038,이름 불일치,좌천병원,봉생기념병원,
ER038,좌표 차이,"35.135775, 129.054417","35.130950, 129.050100",665m
ER039,이름 불일치,봉생병원,봉생기념병원,
ER041,카카오 검색 실패,부산서병원,N/A,
ER042,이름 불일치,화명병원,화명일신기독병원,
ER042,좌표 차이,"35.235764, 129.013862","35.231817, 129.013695",439m
ER043,카카오 검색 실패,금강병원,N/A,
ER044,이름 불일치,재송병원,효성시티병원,
ER045,카카오 검색 실패,천안병원,N/A,
ER046,이름 불일치,안락병원,빌리브세웅병원,
ER046,좌표 차이,"35.206968, 129.071145","35.195881, 129.108243",3589m
