id,name,address,phone,emergency_phone,latitude,longitude,district,emergency_level,hospital_type,beds_total,has_ct,has_mri
ER001,고신대학교복음병원,부산광역시 서구 감천로 262 (암남동),051-990-6114,051-990-0119,35.08029169,129.0157202,서구,지역응급의료기관,종합병원(상급종합병원),844,True,True
ER002,인제대학교부산백병원,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",051-890-6114,051-890-0119,35.14645447,129.0205715,부산진구,지역응급의료기관,종합병원(상급종합병원),810,True,True
ER003,부산대학교병원,부산광역시 서구 구덕로 179 (아미동1가),051-240-7000,051-240-0119,35.10105418,129.0192221,서구,지역응급의료기관,종합병원(상급종합병원),1040,True,True
ER004,동아대학교병원,부산광역시 서구 대신공원로 26 (동대신동3가),051-240-2400,051-240-0119,35.12000584,129.0176037,서구,지역응급의료기관,종합병원(상급종합병원),973,True,True
ER005,학교법인 춘해병원,부산광역시 부산진구 중앙대로 605 지상1층~지상9층 (범천동),051-638-8000,051-638-0119,35.14703698,129.0585477,부산진구,지역응급의료기관,종합병원,201,True,False
ER006,삼육부산병원,부산광역시 서구 대티로 170 (서대신동2가),051-242-9751,051-242-0119,35.11177721,129.0107498,서구,지역응급의료기관,종합병원,317,True,False
ER007,재단법인천주교부산교구유지재단 메리놀병원,부산광역시 중구 중구로 121 (대청동4가),051-465-8801,051-465-0119,35.10758097,129.0324638,중구,지역응급의료기관,종합병원,399,True,False
ER008,대동병원,부산광역시 동래구 충렬대로 187 (명륜동),051-554-1233,051-554-0119,35.20427317,129.0802155,동래구,지역응급의료기관,종합병원,432,True,True
ER009,부산광역시의료원,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",051-507-3000,051-507-0119,35.18731265,129.0591792,연제구,지역응급의료기관,종합병원,544,True,True
ER010,구포성심병원,부산광역시 북구 낙동대로 1786 (구포동),051-330-2001,051-330-0119,35.20971003,129.0045787,북구,지역응급의료기관,종합병원,243,True,False
ER011,의료법인 광혜의료재단 광혜병원,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",051-503-2111,051-503-0119,35.20703333,129.0711361,동래구,지역응급의료기관,종합병원,175,False,False
ER012,재단법인한호기독교선교회 일신기독병원,부산광역시 동구 정공단로 27 (좌천동),051-630-0300,051-630-0119,35.13550455,129.0545971,동구,지역응급의료기관,종합병원,162,False,False
ER013,의료법인 행도의료재단 해동병원,부산광역시 영도구 태종로 133 (봉래동3가),051-412-6161,051-412-0119,35.09194298,129.0438643,영도구,지역응급의료기관,종합병원,265,True,False
ER014,의료법인정화의료재단 봉생기념병원,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",051-664-4000,051-664-0119,35.13085784,129.0505709,동구,지역응급의료기관,종합병원,389,True,False
ER015,좋은문화병원,부산광역시 동구 범일로 119 (범일동),051-644-2002,051-644-0119,35.14072399,129.0590638,동구,지역응급의료기관,종합병원,299,True,False
ER016,비에이치에스한서병원,부산광역시 수영구 수영로 615 (광안동),051-756-0081,051-756-0119,35.16104606,129.1128811,수영구,지역응급의료기관,종합병원,299,True,False
ER017,학교법인)동의병원,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",051-867-5101,051-867-0119,35.16992218,129.0767444,부산진구,지역응급의료기관,종합병원,471,True,True
ER018,동래봉생병원,부산광역시 동래구 안연로109번길 27 (안락동),051-531-6000,051-531-0119,35.19694648,129.0961666,동래구,지역응급의료기관,종합병원,255,True,False
ER019,한국보훈복지의료공단 부산보훈병원,부산광역시 사상구 백양대로 420 (주례동),051-601-6000,051-601-0119,35.15333437,129.0065651,사상구,지역응급의료기관,종합병원,476,True,True
ER020,의료법인은성의료재단좋은삼선병원,부산광역시 사상구 가야대로 326 (주례동),051-322-0900,051-322-0119,35.15056774,129.0081979,사상구,지역응급의료기관,종합병원,406,True,True
ER021,영도병원,부산광역시 영도구 태종로 85 (대교동2가),051-414-8101,051-414-0119,35.09224571,129.0405372,영도구,지역응급의료기관,종합병원,277,True,False
ER022,의료법인 센텀의료재단 센텀종합병원,부산광역시 수영구 수영로 679번길 8(광안동),051-750-5000,051-750-0119,35.16682735,129.114425,수영구,지역응급의료기관,종합병원,493,True,True
ER023,의료법인 인당의료재단 부민병원,부산광역시 북구 만덕대로 59 (덕천동),051-330-3000,051-330-0119,35.21191432,129.0112123,북구,지역응급의료기관,종합병원,384,True,False
ER024,의료법인 은성의료재단 좋은강안병원,부산광역시 수영구 수영로 493 (남천동),051-625-0900,051-625-0119,35.15015906,129.1107244,수영구,지역응급의료기관,종합병원,570,True,True
ER025,부산성모병원(재단법인 천주교부산교구유지재단),부산광역시 남구 용호로232번길 25-14 (용호동),051-933-7114,051-933-0119,35.11045733,129.109192,남구,지역응급의료기관,종합병원,415,True,True
ER026,인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875 (좌동),051-797-0100,051-797-0119,35.17334314,129.1821812,해운대구,지역응급의료기관,종합병원,866,True,True
ER027,의료법인 온그룹의료재단 온병원,"부산광역시 부산진구 가야대로 721, 719, 767 (당감동)",051-607-0133,051-607-0119,35.15787736,129.0499844,부산진구,지역응급의료기관,종합병원,700,True,True
ER028,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길 40,051-720-5114,051-720-0119,35.32141899,129.2436492,미상,지역응급의료기관,종합병원,251,True,False
